annee,soir,Ordre,Country,Pays,Artiste,Chanson,Langue,Place,Points,,,,annee,DF,Ordre,Country,Pays,Artiste,Chanson,Langue,Place,Points
2021,DF,5,Australia,Australie,Montaigne,Technicolour,Anglais,14,28,,,,,,,,,,,,,
2021,DF,14,Azerbaijan,Azerbaïdjan,Efendi,Mata Hari,Anglais,8,138,,,,,,,,,,,,,
2021,DF,11,Belgium,Belgique,Hooverphonic,The Wrong Place,Anglais,9,117,,,,,,,,,,,,,
2021,DF,8,Cyprus,Chypre,Elena Tsagrinou,El Diablo,Anglais,6,170,,,,,,,,,,,,,
2021,DF,10,Croatia,Croatie,Albina,Tick-Tock,Anglais‚ croate,11,110,,,,,,,,,,,,,
2021,DF,7,Ireland,Irlande,Lesley Roy,MAPS,Anglais,16,20,,,,,,,,,,,,,
2021,DF,12,Israel,Israël,Eden Alene,Set Me Free,Anglais,5,192,,,,,,,,,,,,,
2021,DF,1,Lithuania,Lituanie,The Roop,Discoteque,Anglais,4,203,,,,,,,,,,,,,
2021,DF,6,North macedonia,Macédoine du Nord,Vasil,Here I Stand,Anglais,15,23,,,,,,,,,,,,,
2021,DF,16,Malta,Malte,Destiny,Je me casse,Anglais,1,325,,,,,,,,,,,,,
2021,DF,9,Norway,Norvège,TIX,Fallen Angel,Anglais,10,115,,,,,,,,,,,,,
2021,DF,13,Romania,Roumanie,ROXEN,Amnesia,Anglais,12,85,,,,,,,,,,,,,
"2021,DF,3,Russia,Russie,Manizha,Russian Woman,""Russe, anglais"",3,225,,,,,,,,,,,,,"
2021,DF,2,Slovenia,Slovénie,Ana Soklič,Amen,Anglais,13,44,,,,,,,,,,,,,
2021,DF,4,Sweden,Suède,Tusse,Voices,Anglais,7,142,,,,,,,,,,,,,
"2021,DF,15,Ukraine,Ukraine,Go_A,""Shum"
"(Шум)"",Ukrainien,2,267,,,,,,,,,,,,,"
2021,DF,11,Albania,Albanie,Anxhela Peristeri,Karma,Albanais,10,112,,,,,,,,,,,,,
2021,DF,5,Austria,Autriche,Vincent Bueno,Amen,Anglais,12,66,,,,,,,,,,,,,
2021,DF,13,Bulgaria,Bulgarie,VICTORIA,Growing Up Is Getting Old,Anglais,3,250,,,,,,,,,,,,,
2021,DF,17,Denmark,Danemark,Fyr & Flamme,Øve os på hinanden,Danois,11,89,,,,,,,,,,,,,
2021,DF,2,Estonia,Estonie,Uku Suviste,The Lucky One,Anglais,13,58,,,,,,,,,,,,,
2021,DF,14,Finland,Finlande,Blind Channel,Dark Side,Anglais,5,234,,,,,,,,,,,,,
2021,DF,10,Georgia,Géorgie,Tornike Kipiani,You,Anglais,16,16,,,,,,,,,,,,,
2021,DF,4,Greece,Grèce,Stefania,Last Dance,Anglais,6,184,,,,,,,,,,,,,
2021,DF,8,Iceland,Islande,Daði og Gagnamagnið,10 Years,Anglais,2,288,,,,,,,,,,,,,
2021,DF,15,Latvia,Lettonie,Samanta Tīna,The Moon is Rising,Anglais,17,14,,,,,,,,,,,,,
2021,DF,7,Moldavia,Moldavie,Natalia Gordienko,SUGAR,Anglais,7,179,,,,,,,,,,,,,
2021,DF,6,Poland,Pologne,RAFAŁ,The Ride,Anglais,14,35,,,,,,,,,,,,,
2021,DF,12,Portugal,Portugal,The Black Mamba,Love Is on My Side,Anglais,4,239,,,,,,,,,,,,,
2021,DF,1,San marino,Saint-Marin,Senhit et Flo Rida,Adrenalina,Anglais,9,118,,,,,,,,,,,,,
2021,DF,9,Serbia,Serbie,Hurricane,Loco Loco,Serbe,8,124,,,,,,,,,,,,,
2021,DF,16,Switzerland,Suisse,Gjon's Tears,Tout l'Univers,Français,1,291,,,,,,,,,,,,,
2021,DF,3,Czech republic,Tchéquie,Benny Cristo,Omaga,Anglais,15,23,,,,,,,,,,,,,
2021,FI,2,Albania,Albanie,Anxhela Peristeri,Karma,Albanais,21,57,,,,,,,,,,,,,
2021,FI,15,Germany,Allemagne,Jendrik,I Don't Feel Hate,Anglais,25,3,,,,,,,,,,,,,
2021,FI,21,Azerbaijan,Azerbaïdjan,Efendi,Mata Hari,Anglais,20,65,,,,,,,,,,,,,
2021,FI,4,Belgium,Belgique,Hooverphonic,The Wrong Place,Anglais,19,74,,,,,,,,,,,,,
